path	ibrion	tebeg	teend	nsw	potim	contcar_size	species	counts
GK_xum02/xqd/1-PCM/1-Sb/0-model/2-MD	0	0	0	500	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/0-model/3-MD	0	0	0	1000	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/0-model/4-MD	0	0	0	1000	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/2-Ge15Sb85/0-model/2	0	0	0	1000	3.00	77508	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/0-model/2-component/2	0	0	0	500	3.00	77508	Ge Sb	35 265
GK_xum02/xqd/1-PCM/2-Ge15Sb85/0-model/2-component/3	0	0	0	500	3.00	77508	Ge Sb	50 250
GK_xum02/xqd/1-PCM/2-Ge15Sb85/0-model/2-component/4	0	0	0	500	3.00	77508	Ge Sb	60 240
GK_xum02/xqd/1-PCM/2-Ge15Sb85/0-model/2-component/5	0	0	0	500	3.00	77508	Ge Sb	70 230
GK_xum02/xqd/1-PCM/2-Ge15Sb85/0-model/2-component/1	0	0	0	500	3.00	77508	Ge Sb	40 260
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/3-opt	2			100	0.50	33303	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/4-scf	-1			0	0.50	33303	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/1-MD	0	0	0	1000	3.00	77508	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/1-MD/component/1	0	0	0	500	3.00	77508	Ge Sb	35 265
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/1-MD/component/2	0	0	0	500	3.00	77508	Ge Sb	40 260
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/1-MD/component/3	0	0	0	500	3.00	77508	Ge Sb	50 250
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/1-MD/component/4	0	0	0	500	3.00	77508	Ge Sb	55 245
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/1-MD/component/5	0	0	0	500	3.00	77508	Ge Sb	60 240
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/2-MD	0	0	0	500	3.00	77508	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/3-MD	0	0	0	500	3.00	77508	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/4-MD	0	0	0	500	3.00	77508	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/5-MD	0	0	0	500	3.00	77508	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/6-MD	0	0	0	500	3.00	77508	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/2-2000K-300K	0	2000.0	300.0	2000	3.00	77508	Ge Sb	45 255
GK_xum02/xqd/1-PCM/10-GeBiTe/0-model/2-MD	0	0	0	1000	3.00	77776	Ge Bi Te	43 86 172
GK_xum02/xqd/1-PCM/10-GeBiTe/0-model/3-MD	0	300	300	500	3.00	77776	Ge Bi Te	43 86 172
GK_xum02/xqd/1-PCM/10-GeBiTe/0-model/4-MD	0	300	300	500	3.00	77776	Ge Bi Te	43 86 172
GK_xum02/xqd/1-PCM/10-GeBiTe/0-model/0-scf	-1			0	0.50	33424	Ge Bi Te	43 86 172
GK_xum02/xqd/1-PCM/10-GeBiTe/1-model/3-opt	2			50	0.50	33424	Ge Bi Te	43 86 172
GK_xum02/xqd/1-PCM/10-GeBiTe/1-model/5-MD/1-MD	0	0.0	0.0	1000	3.00	77776	Ge Bi Te	43 86 172
