path	type	species	counts	natoms	contcar_size	tebeg	teend	nsw
nscc1741_XM/xumeng/3-OTS/4-SiSe/3-dos/6-300K	md-amorphous	Si Se	150 150	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/4-SiSe/3-dos/9-300K	md-amorphous	Si Se	150 150	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/4-SiSe/4-dos/7-dos/1-300K	md-amorphous	Si Se	150 150	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/4-SiSe/4-dos/11-dos/4-300k	md-amorphous	Si Se	150 150	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/4-SiSe/2-dos-f/0-a/1-300K	md-amorphous	Si Se	150 150	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/4-SiSe/1-dos/0-a/1-300K	md-amorphous	Si Se	150 150	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/4-SiSe/1-dos/6-300K	md-amorphous	Si Se	150 150	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/4-SiSe/5-dos-T/md/1-300K	md-amorphous	Si Se	150 150	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/4-SiSe/5-dos-T/13-dos-T/1-300K	md-amorphous	Si Se	150 150	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/3-OTS/0-C-Si-Ge-Sn-Te/3-GeTe/4-MD-300-3000	md-amorphous	Ge Te	150 150	300	77508	300.0	300.0	3000
nscc1741_XM/xumeng/3-OTS/0-C-Si-Ge-Sn-Te/4-SnTe/4-MD-300-3000	md-amorphous	Sn Te	150 150	300	77508	300.0	300.0	3000
nscc1741_XM/xumeng/3-OTS/0-C-Si-Ge-Sn-Te/8-GeSeTe/0-a	md-amorphous	Ge Se Te	150 39 111	300	77519	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/0-C-Si-Ge-Sn-Te/6-BTe/1-dos/0-a/2-300	md-amorphous	B Te	75 225	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/6-GeSe2/2-dos/0-a/2-300k	md-amorphous	Ge Se	100 200	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/6-GeSe2/3-dos/0-a/2-300k	md-amorphous	Ge Se	100 200	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/6-GeSe2/1-dos/0-a/2-300k	md-amorphous	Ge Se	100 200	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/6-GeSe2/5-dos/1-300k	md-amorphous	Ge Se	100 200	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/7-GeTe6/1-dos/1-300k	md-amorphous	Ge Te	43 257	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/OTS-3-4/7-GeAsSe/2-dos/3-300k	md-amorphous	Ge As Se	135 30 135	300	77519	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/OTS-3-4/7-GeAsSe/2-dos/6-300k	md-amorphous	Ge As Se	135 30 135	300	77519	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/OTS-3-4/7-GeAsSe/2-dos/13-300K	md-amorphous	Ge As Se	135 30 135	300	77519	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/OTS-3-4/7-GeAsSe/3-dos/0-300k	md-amorphous	Ge As Se	135 30 135	300	77519	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/OTS-3-4/7-GeAsSe/1-dos/4-MD-300-3000	md-amorphous	Ge As Se	135 30 135	300	77519	300.0	300.0	3000
nscc1741_XM/xumeng/3-OTS/OTS-3-4/7-GeAsSe/1-dos/a-300K	md-amorphous	Ge As Se	135 30 135	300	77519	300.0	300.0	600
nscc1741_XM/xumeng/3-OTS/OTS-3-4/6-SiAsTe/a-300k	md-amorphous	Si AS Te	135 30 135	300	77519	300.0	300.0	200
nscc1741_XM/xumeng/3-OTS/OTS-3-4/6-SiAsTe/4-MD-300-3000	md-amorphous	Si AS Te	135 30 135	300	77519	300.0	300.0	3000
nscc1741_XM/xumeng/3-OTS/11-AsTe/1-dos/0-300k	md-amorphous	As Te	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/11-AsTe/1-dos/3-300k	md-amorphous	As Te	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/11-AsTe/1-dos/6-300k	md-amorphous	As Te	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/11-AsTe/1-dos/9-300k	md-amorphous	As Te	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/11-AsTe/2-dos/6-300k	md-amorphous	As Te	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/11-AsTe/3-dos/4-300k	md-amorphous	As Te	150 150	300	77508	300.0	300.0	800
nscc1741_XM/xumeng/3-OTS/12-AlTe/1-dos/0-300k	md-amorphous	Al Te	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/12-AlTe/3-dos/4-300k	md-amorphous	Al Te	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/12-AlTe/design/1-300k	md-amorphous	Al Te	153 151	304	82203	300.0	300.0	800
nscc1741_XM/xumeng/3-OTS/12-AlTe/0-Al2Te3/1-300k	md-amorphous	Al Te	120 180	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/12-AlTe/0-Al2Te3/4-300k	md-amorphous	Al Te	120 180	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/3-OTS/13-SnSe/7-MD-300K	md-amorphous	Sn Se	150 150	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/3-OTS/15-GaTe/1-dos/1-300k	md-amorphous	Ga Te	120 180	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/15-GaTe/1-dos/4-MD-300K	md-amorphous	Ga Te	120 180	300	77508	300.0	300.0	2000
nscc1741_XM/xumeng/3-OTS/sl-GeSe/1-dos-0/1-dos-T/1-300K	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/sl-GeSe/1-dos-0/1-dos-T/4-300K	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/sl-GeSe/1-dos-0/2-dos-T/1-300K	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	800
nscc1741_XM/xumeng/3-OTS/sl-GeSe/1-dos-0/2-dos-T/4-300K	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/sl-GeSe/1-dos-0/3-dos/1-300K	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/sl-GeSe/1-dos-0/4-dos-T/1-300K	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/sl-GeSe/1-dos-0/5-dos-T/1-300K	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/ml-OTS/1-dos/1-300K	md-amorphous	Ge Se	150 150	300	77508	300.0	300.0	20000
nscc1741_XM/xumeng/3-OTS/16-GaSe/1-dos/1-300K	md-amorphous	Ga Se	150 150	300	77508	300.0	300.0	300
nscc1741_XM/xumeng/3-OTS/17-GaS/1-300K	md-amorphous	Ga S	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/18-InSe/1-300K	md-amorphous	In Se	150 150	300	77508	300.0	300.0	500
nscc1741_XM/xumeng/3-OTS/19-BiSe/4-300K	md-amorphous	Bi Se	120 180	300	77508	300.0	300.0	200
