model_key	rep_path	how	n_merged	formula	species	counts	natoms	tebeg
ysj/condi-diff/energy-gen/2	ysj/condi-diff/energy-gen/2	opt-CONTCAR	1	Ge149Se143	Ge Se	149 143	292	
ysj/condi-diff/energy-gen/3-MACE-GUIDE	ysj/condi-diff/energy-gen/3-MACE-GUIDE	opt-CONTCAR	1	Ge151Se149	Ge Se	151 149	300	
ysj/condi-diff/energy-gen/4-mace-guide-lbfgs	ysj/condi-diff/energy-gen/4-mace-guide-lbfgs	opt-CONTCAR	1	Ge145Se155	Ge Se	145 155	300	
ysj/condi-diff/energy-gen/5-bfgs	ysj/condi-diff/energy-gen/5-bfgs	opt-CONTCAR	1	Ge147Se153	Ge Se	147 153	300	
ysj/condi-diff/energy-gen/6-LBFGSLINESERACH	ysj/condi-diff/energy-gen/6-LBFGSLINESERACH	opt-CONTCAR	1	Ge150Se150	Ge Se	150 150	300	
ysj/condi-diff/gen-1	ysj/condi-diff/gen-1/relax	opt-CONTCAR	1	Ge155Se155	Ge Se	155 155	310	
ysj/condi-diff/gen-2	ysj/condi-diff/gen-2/relax	opt-CONTCAR	1	Ge153Se153	Ge Se	153 153	306	
ysj/condi-diff/z-gen-1	ysj/condi-diff/z-gen-1/relax	opt-CONTCAR	1	Ge106Se106	Ge Se	106 106	212	
ysj/condi-diff/z-gen-2	ysj/condi-diff/z-gen-2/md	md-first-frame	1	Ge146Se146	Ge Se	146 146	292	300
ysj/ef/gese/001/0.0008	ysj/ef/gese/001/0.0008/relax	md-first-frame	1	Ge150Se150	Ge Se	150 150	300	300
