path	ibrion	tebeg	teend	nsw	potim	contcar_size	species	counts
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/3-opt-PBE0	2			300	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/3-opt-PBE0/1-scale	2			300	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/3-opt-PBE0/md	0	300	300	1000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/1-opt-HSE06	2			300	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/1-opt-HSE06/1-scale	2			300	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/1-opt-HSE06/md	0	300	300	100	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/1-opt-HSE06/md2	0	300	300	900	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/4-B3LYP/md	0	300	300	1000	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/4-B3LYP	2			300	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/4-B3LYP/1-scale	2			300	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/5-BLYP	2			300	0.50	6694	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/4-opt-hybrid/1-64atoms/5-BLYP/md	0	300	300	900	3.00	15325	Ge Sb Te	13 13 32
xqd/7-Tr/4-GST225/4-opt-hybrid/2-125atoms/1-HSE06	2			300	0.50	14064	Ge Sb Te	28 28 69
xqd/7-Tr/4-GST225/4-opt-hybrid/2-125atoms/2-HSE03	2			300	0.50	14064	Ge Sb Te	28 28 69
xqd/7-Tr/4-GST225/4-opt-hybrid/2-125atoms/5-BLYP	2			300	0.50	14064	Ge Sb Te	28 28 69
xqd/7-Tr/4-GST225/4-opt-hybrid/2-125atoms/3-PBE0	2			300	0.50	14064	Ge Sb Te	28 28 69
xqd/7-Tr/4-GST225/4-opt-hybrid/2-125atoms/4-B3LYP	2			300	0.50	14064	Ge Sb Te	28 28 69
xqd/7-Tr/2-GeSe2/0-model-10K	0	10	10	1000	3.00	77508	Ge Se	100 200
xqd/7-Tr/2-GeSe2/0-model-10K/1	0	10	10	1000	3.00	77508	Ge Se	100 200
xqd/7-Tr/2-GeSe2/0-model-10K/300K	0	300	300	1000	3.00	77508	Ge Se	100 200
xqd/7-Tr/2-GeSe2/1-model-10K	0	10	10	1000	3.00	77508	Ge Se	100 200
xqd/7-Tr/2-GeSe2/2-BLYP/1-2000K	0	2000	2000	2000	3.00	77508	Ge Se	100 200
xqd/7-Tr/2-GeSe2/2-BLYP/194atoms/1-2000K	0	2000	2000	2000	3.00	50266	Ge Se	64 130
xqd/7-Tr/2-GeSe2/2-BLYP/194atoms/3-opt	2			500	0.50	21643	Ge Se	64 130
xqd/7-Tr/2-GeSe2/2-BLYP/194atoms/2-quench	0	2000	300	2000	3.00	50266	Ge Se	64 130
xqd/7-Tr/2-GeSe2/2-BLYP/194atoms/4-MD	0	300	300	1000	3.00	50266	Ge Se	64 130
xqd/8-Sb-X/1-Al/2-PBE0	-1			0	0.50	33303	Al Sb	45 255
xqd/8-Sb-X/1-Al/4-bond/1-opt	2			300	0.50	523	Al Sb	1 1
xqd/8-Sb-X/1-Al/4-bond/2-scf	-1			0	0.50	523	Al Sb	1 1
xqd/8-Sb-X/1-Al/1-PBE	-1			0	0.50	33303	Al Sb	45 255
xqd/8-Sb-X/8-Ti/1-PBE	-1			0	0.50	33303	Ti Sb	45 255
xqd/8-Sb-X/8-Ti/2-PBE0	-1			0	0.50	33303	Ti Sb	45 255
xqd/8-Sb-X/8-Ti/3-bond/1-opt	2			300	0.50	523	Ti Sb	1 1
xqd/8-Sb-X/8-Ti/3-bond/2-scf	-1			0	0.50	523	Ti Sb	1 1
xqd/8-Sb-X/3-Ga/2-PBE0	-1			0	0.50	33303	Ga Sb	45 255
xqd/8-Sb-X/3-Ga/1-PBE	-1			0	0.50	33303	Ga Sb	45 255
xqd/8-Sb-X/3-Ga/3-bond/1-opt	2			300	0.50	523	Ga Sb	1 1
xqd/8-Sb-X/3-Ga/3-bond/2-scf	-1			0	0.50	523	Ga Sb	1 1
xqd/8-Sb-X/4-Cd/2-PBE0	-1			0	0.50	33303	Cd Sb	45 255
xqd/8-Sb-X/4-Cd/1-PBE	-1			0	0.50	33303	Cd Sb	45 255
xqd/8-Sb-X/4-Cd/3-bond/1-opt	2			300	0.50	523	Cd Sb	1 1
xqd/8-Sb-X/4-Cd/3-bond/2-scf	-1			0	0.50	523	Cd Sb	1 1
