path	type	species	counts	natoms	contcar_size	tebeg	teend	nsw
yyf/5-O/4-models/STRUCTURE_201/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_203/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/4-models/STRUCTURE_204/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/5-crystal/6-444cry/1-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/5-crystal/5-nGa/1-opt	opt	Ga O	8 12	20	2503			1000
yyf/5-O/5-crystal/11-80atom/2-remove1O	opt	In O	16 23	39	4593			1000
yyf/5-O/5-crystal/11-80atom/9-1Ga/1-opt	opt	In Ga O	15 1 24	40	4714			1000
yyf/5-O/5-crystal/11-80atom/9-1Ga/3-opt	opt	In Ga O	14 2 24	40	4714			1000
yyf/5-O/5-crystal/11-80atom/9-1Ga/5-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/5-crystal/11-80atom/11-1Ga/1-opt	opt	In Ga O	31 1 48	80	9114			1000
yyf/5-O/5-crystal/11-80atom/13-opt/3-1Oopt	opt	In O	32 47	79	8993			1000
yyf/5-O/5-crystal/11-80atom/13-opt/1-opt	opt	In O	32 48	80	9103			1000
yyf/5-O/5-crystal/11-80atom/10-remove1OHSE/1-opt	opt	In O	32 47	79	8993			1000
yyf/5-O/5-crystal/11-80atom/6-remove1O2+	opt	In O	16 23	39	4593			1000
yyf/5-O/5-crystal/11-80atom/12-Garemove1O/1-opt	opt	In Ga O	31 1 47	79	9004			1000
yyf/5-O/5-crystal/11-80atom/12-Garemove1O/3-opt	opt	In Ga O	31 1 47	79	9004			1000
yyf/5-O/6-models/STRUCTURE_2/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_3/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_12/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_16/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_23/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_27/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_32/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_34/3-opt	opt	In O	16 24	40	4703			1000
yyf/5-O/6-models/STRUCTURE_36/3-opt	opt	In O	16 24	40	4703			1000
